Link,Published Date,Source,Summary,Title,neg,neu,pos,compound,Sentiment,words
https://globalnews.ca/news/8342569/anunoby-has-career-best-36-raptors-beat-knicks-2/,"Tue, 02 Nov 2021 03:31:35 +0000",Global News,new york (ap) — toronto raptors midway dominant third quarter svi mykhailiuk's basket gave lead good.,"Anunoby has career-best 36, Raptors beat Knicks",0.0,0.838,0.162,0.4404,Positive,"['new', 'york', '(ap)', '—', 'toronto', 'raptors', 'midway', 'dominant', 'third', 'quarter', 'svi', ""mykhailiuk's"", 'basket', 'gave', 'lead', 'good.']"
https://globalnews.ca/news/8342484/anunoby-has-career-best-36-raptors-beat-knicks/,"Tue, 02 Nov 2021 02:05:53 +0000",Global News,new york (ap) — og anunoby scored career-high 36 points toronto raptors fourth straight beating new york knicks 113-104 monday night 75th anniversary nba's first game.,"Anunoby has career-best 36, Raptors beat Knicks",0.104,0.83,0.066,-0.2732,Negative,"['new', 'york', '(ap)', '—', 'og', 'anunoby', 'scored', 'career-high', '36', 'points', 'toronto', 'raptors', 'fourth', 'straight', 'beating', 'new', 'york', 'knicks', '113-104', 'monday', 'night', '75th', 'anniversary', ""nba's"", 'first', 'game.']"
https://globalnews.ca/news/8341037/blackhawks-scandal-nhl-aware-2011-bettman/,"Mon, 01 Nov 2021 19:33:01 +0000",Global News,bettman commissioner time alleged sexual abuse blackhawks’ assistant coach brad aldrich 2010.,"Bettman says Kyle Beach claims left him ‘distressed,’ stands by $2M Blackhawks fine",0.276,0.724,0.0,-0.6369,Negative,"['bettman', 'commissioner', 'time', 'alleged', 'sexual', 'abuse', 'blackhawks’', 'assistant', 'coach', 'brad', 'aldrich', '2010.']"
https://globalnews.ca/news/8338666/knicks-play-the-raptors-on-3-game-win-streak/,"Sun, 31 Oct 2021 07:04:47 +0000",Global News,"toronto raptors (4-3, seventh eastern conference) vs. new york knicks (5-1, first eastern conference)",Knicks play the Raptors on 3-game win streak,0.0,1.0,0.0,0.0,Neutral,"['toronto', 'raptors', '(4-3,', 'seventh', 'eastern', 'conference)', 'vs.', 'new', 'york', 'knicks', '(5-1,', 'first', 'eastern', 'conference)']"
https://globalnews.ca/news/8338517/barnes-leads-raptors-past-pacers/,"Sun, 31 Oct 2021 02:11:34 +0000",Global News,indianapolis (ap) — scottie barnes scored 21 points grabbed 12 rebounds help toronto raptors beat indiana pacers 97-94 saturday night.,Barnes leads Raptors past Pacers,0.0,0.876,0.124,0.4019,Positive,"['indianapolis', '(ap)', '—', 'scottie', 'barnes', 'scored', '21', 'points', 'grabbed', '12', 'rebounds', 'help', 'toronto', 'raptors', 'beat', 'indiana', 'pacers', '97-94', 'saturday', 'night.']"
https://globalnews.ca/news/8337868/bc-artist-indigenous-unbc-logo/,"Sat, 30 Oct 2021 21:30:08 +0000",Global News,"gitxsan artist trevor angus says took four years bold design make onto unbc's alternate jerseys, reception made worth wait.",Meet the B.C. artist behind UNBC’s Indigenous athletics logo — a first for Canada,0.0,0.791,0.209,0.5423,Positive,"['gitxsan', 'artist', 'trevor', 'angus', 'says', 'took', 'four', 'years', 'bold', 'design', 'make', 'onto', ""unbc's"", 'alternate', 'jerseys,', 'reception', 'made', 'worth', 'wait.']"
https://globalnews.ca/news/8338044/kyle-beach-commissioner-league-help/,"Sat, 30 Oct 2021 20:08:17 +0000",Global News,"beach, 31, also slated meet donald fehr, leader nhl players' association, saturday separate video conference call.",Kyle Beach offered NHL’s help after meeting with league’s commissioner,0.0,1.0,0.0,0.0,Neutral,"['beach,', '31,', 'also', 'slated', 'meet', 'donald', 'fehr,', 'leader', 'nhl', ""players'"", 'association,', 'saturday', 'separate', 'video', 'conference', 'call.']"
https://globalnews.ca/news/8337278/raptors-hang-on-for-110-109-win-over-magic/,"Sat, 30 Oct 2021 01:42:03 +0000",Global News,"scottie barnes-jalen suggs rookie battle advertised friday night scotiabank arena. gary trent jr., ended stealing show toronto raptors, hung 110-109 win orlando magic.",Raptors hang on for 110-109 win over Magic,0.209,0.664,0.126,-0.3612,Negative,"['scottie', 'barnes-jalen', 'suggs', 'rookie', 'battle', 'advertised', 'friday', 'night', 'scotiabank', 'arena.', 'gary', 'trent', 'jr.,', 'ended', 'stealing', 'show', 'toronto', 'raptors,', 'hung', '110-109', 'win', 'orlando', 'magic.']"
https://globalnews.ca/news/8337194/whitecaps-investigation-sexual-misconduct-mls/,"Sat, 30 Oct 2021 01:18:00 +0000",Global News,"current member whitecaps' executive team involved matters related allegations put administrative leave, club confirmed friday.",MLS launches independent probe of Whitecaps’ sexual misconduct allegations,0.078,0.85,0.072,-0.0258,Negative,"['current', 'member', ""whitecaps'"", 'executive', 'team', 'involved', 'matters', 'related', 'allegations', 'put', 'administrative', 'leave,', 'club', 'confirmed', 'friday.']"
https://globalnews.ca/news/8335795/blackhawks-brad-aldrich-stanley-cup/,"Fri, 29 Oct 2021 17:46:12 +0000",Global News,chicago blackhawks owner rocky wirtz wants brad aldrich's name covered stanley cup light sex assault scandal surrounding team.,Blackhawks owner asks Hall of Fame to cover Brad Aldrich’s name on Stanley Cup,0.295,0.705,0.0,-0.7717,Negative,"['chicago', 'blackhawks', 'owner', 'rocky', 'wirtz', 'wants', 'brad', ""aldrich's"", 'name', 'covered', 'stanley', 'cup', 'light', 'sex', 'assault', 'scandal', 'surrounding', 'team.']"
